region_libelle;date_donnees;pop_sup_20;doses1;dose1_couv_sup20;doses2;dose2_couv_sup20;total
Guadeloupe;19/04/2021;286490;26262;9,2;8917;3,1;35179
Guyane Française;18/04/2021;173032;16071;9,3;7268;4,2;23339
Martinique;18/04/2021;280374;29350;10,5;7845;2,8;37195
Mayotte;18/04/2021;133585;11641;8,7;5768;4,3;17409
Réunion;18/04/2021;604341;55750;9,2;28383;4,7;84133
Saint-Pierre-et-Miquelon;15/04/2021;5000;3754;75,1;0;0;3754
Wallis-et-Futuna;20/04/2021;7002;4073;58,2;1488;21,3;5561
Nouvelle Calédonie;19/04/2021;189980;32071;16,9;20810;11;52881
Polynésie Française;19/04/2021;212520;31995;15,1;17514;8,2;49509
Saint Barthélémy;19/04/2021;6983;930;13,3;464;6,6;1394
Saint Martin;19/04/2021;21435;2466;11,5;1035;4,8;3501
Totaux;;1920742;214363;11,2;99492;5,2;313855
France entière;;51263237;12751000;24,9;4675000;9,1;17426000
